001  00276 |Loss: 0.697 | Acc: 76.653% 
001  00277 |Loss: 0.695 | Acc: 76.723% 
001  00278 |Loss: 0.694 | Acc: 76.779% 
001  00279 |Loss: 0.692 | Acc: 76.829% 
001  00280 |Loss: 0.690 | Acc: 76.886% 
001  00281 |Loss: 0.688 | Acc: 76.955% 
001  00282 |Loss: 0.686 | Acc: 77.022% 
001  00283 |Loss: 0.685 | Acc: 77.070% 
001  00284 |Loss: 0.683 | Acc: 77.137% 
001  00285 |Loss: 0.682 | Acc: 77.190% 
001  00286 |Loss: 0.680 | Acc: 77.243% 
001  00287 |Loss: 0.679 | Acc: 77.273% 
001  00288 |Loss: 0.677 | Acc: 77.336% 
001  00289 |Loss: 0.676 | Acc: 77.395% 
001  00290 |Loss: 0.674 | Acc: 77.452% 
001  00291 |Loss: 0.672 | Acc: 77.508% 
001  00292 |Loss: 0.671 | Acc: 77.550% 
001  00293 |Loss: 0.669 | Acc: 77.605% 
001  00294 |Loss: 0.667 | Acc: 77.660% 
001  00295 |Loss: 0.666 | Acc: 77.725% 
001  00296 |Loss: 0.665 | Acc: 77.774% 
001  00297 |Loss: 0.663 | Acc: 77.828% 
001  00298 |Loss: 0.662 | Acc: 77.871% 
001  00299 |Loss: 0.660 | Acc: 77.916% 
001  00300 |Loss: 0.659 | Acc: 77.977% 
001  00301 |Loss: 0.657 | Acc: 78.037% 
001  00302 |Loss: 0.655 | Acc: 78.099% 
001  00303 |Loss: 0.654 | Acc: 78.138% 
001  00304 |Loss: 0.652 | Acc: 78.207% 
001  00305 |Loss: 0.651 | Acc: 78.258% 
001  00306 |Loss: 0.649 | Acc: 78.309% 
001  00307 |Loss: 0.648 | Acc: 78.367% 
001  00308 |Loss: 0.646 | Acc: 78.407% 
001  00309 |Loss: 0.645 | Acc: 78.461% 
001  00310 |Loss: 0.644 | Acc: 78.501% 
001  00311 |Loss: 0.642 | Acc: 78.560% 
001  00312 |Loss: 0.641 | Acc: 78.616% 
001  00313 |Loss: 0.639 | Acc: 78.657% 
001  00314 |Loss: 0.638 | Acc: 78.705% 
001  00315 |Loss: 0.637 | Acc: 78.757% 
001  00316 |Loss: 0.635 | Acc: 78.812% 
001  00317 |Loss: 0.634 | Acc: 78.859% 
001  00318 |Loss: 0.632 | Acc: 78.916% 
001  00319 |Loss: 0.631 | Acc: 78.960% 
001  00320 |Loss: 0.630 | Acc: 78.997% 
001  00321 |Loss: 0.629 | Acc: 79.045% 
001  00322 |Loss: 0.627 | Acc: 79.083% 
001  00323 |Loss: 0.626 | Acc: 79.134% 
001  00324 |Loss: 0.624 | Acc: 79.181% 
001  00325 |Loss: 0.623 | Acc: 79.233% 
001  00326 |Loss: 0.622 | Acc: 79.278% 
001  00327 |Loss: 0.620 | Acc: 79.332% 
001  00328 |Loss: 0.619 | Acc: 79.371% 
001  00329 |Loss: 0.618 | Acc: 79.417% 
001  00330 |Loss: 0.616 | Acc: 79.465% 
001  00331 |Loss: 0.615 | Acc: 79.503% 
001  00332 |Loss: 0.614 | Acc: 79.542% 
001  00333 |Loss: 0.613 | Acc: 79.582% 
001  00334 |Loss: 0.612 | Acc: 79.610% 
001  00335 |Loss: 0.611 | Acc: 79.664% 
001  00336 |Loss: 0.609 | Acc: 79.711% 
001  00337 |Loss: 0.609 | Acc: 79.748% 
001  00338 |Loss: 0.607 | Acc: 79.805% 
001  00339 |Loss: 0.606 | Acc: 79.844% 
001  00340 |Loss: 0.605 | Acc: 79.883% 
001  00341 |Loss: 0.603 | Acc: 79.930% 
001  00342 |Loss: 0.602 | Acc: 79.982% 
001  00343 |Loss: 0.601 | Acc: 80.022% 
001  00344 |Loss: 0.600 | Acc: 80.062% 
001  00345 |Loss: 0.598 | Acc: 80.100% 
001  00346 |Loss: 0.597 | Acc: 80.141% 
001  00347 |Loss: 0.596 | Acc: 80.192% 
001  00348 |Loss: 0.595 | Acc: 80.233% 
001  00349 |Loss: 0.593 | Acc: 80.281% 
001  00350 |Loss: 0.592 | Acc: 80.321% 
001  00351 |Loss: 0.591 | Acc: 80.366% 
001  00352 |Loss: 0.590 | Acc: 80.402% 
001  00353 |Loss: 0.589 | Acc: 80.455% 
001  00354 |Loss: 0.587 | Acc: 80.497% 
001  00355 |Loss: 0.586 | Acc: 80.539% 
001  00356 |Loss: 0.585 | Acc: 80.572% 
001  00357 |Loss: 0.584 | Acc: 80.611% 
001  00358 |Loss: 0.583 | Acc: 80.643% 
001  00359 |Loss: 0.582 | Acc: 80.680% 
001  00360 |Loss: 0.582 | Acc: 80.707% 
001  00361 |Loss: 0.580 | Acc: 80.754% 
001  00362 |Loss: 0.579 | Acc: 80.795% 
001  00363 |Loss: 0.578 | Acc: 80.826% 
001  00364 |Loss: 0.576 | Acc: 80.872% 
001  00365 |Loss: 0.575 | Acc: 80.912% 
001  00366 |Loss: 0.574 | Acc: 80.943% 
001  00367 |Loss: 0.573 | Acc: 80.969% 
001  00368 |Loss: 0.572 | Acc: 81.006% 
001  00369 |Loss: 0.571 | Acc: 81.043% 
001  00370 |Loss: 0.570 | Acc: 81.075% 
001  00371 |Loss: 0.569 | Acc: 81.119% 
001  00372 |Loss: 0.568 | Acc: 81.145% 
001  00373 |Loss: 0.567 | Acc: 81.187% 
001  00374 |Loss: 0.566 | Acc: 81.227% 
001  00375 |Loss: 0.565 | Acc: 81.269% 
001  00376 |Loss: 0.564 | Acc: 81.306% 
001  00377 |Loss: 0.563 | Acc: 81.339% 
001  00378 |Loss: 0.562 | Acc: 81.374% 
001  00379 |Loss: 0.561 | Acc: 81.413% 
001  00380 |Loss: 0.560 | Acc: 81.454% 
001  00381 |Loss: 0.559 | Acc: 81.486% 
001  00382 |Loss: 0.557 | Acc: 81.526% 
001  00383 |Loss: 0.556 | Acc: 81.570% 
001  00384 |Loss: 0.555 | Acc: 81.602% 
001  00385 |Loss: 0.554 | Acc: 81.640% 
001  00386 |Loss: 0.553 | Acc: 81.681% 
001  00387 |Loss: 0.552 | Acc: 81.718% 
001  00388 |Loss: 0.551 | Acc: 81.751% 
001  00389 |Loss: 0.550 | Acc: 81.782% 
001  00390 |Loss: 0.549 | Acc: 81.811% 
001  00391 |Loss: 0.548 | Acc: 81.845% 
001  00392 |Loss: 0.548 | Acc: 81.880% 
001  00393 |Loss: 0.547 | Acc: 81.900% 
001  00394 |Loss: 0.546 | Acc: 81.934% 
001  00395 |Loss: 0.545 | Acc: 81.970% 
001  00396 |Loss: 0.544 | Acc: 81.998% 
001  00397 |Loss: 0.543 | Acc: 82.029% 
001  00398 |Loss: 0.542 | Acc: 82.065% 
001  00399 |Loss: 0.542 | Acc: 82.094% 
001  00400 |Loss: 0.541 | Acc: 82.125% 
001  00401 |Loss: 0.540 | Acc: 82.150% 
001  00402 |Loss: 0.539 | Acc: 82.183% 
001  00403 |Loss: 0.538 | Acc: 82.213% 
001  00404 |Loss: 0.537 | Acc: 82.244% 
001  00405 |Loss: 0.536 | Acc: 82.276% 
001  00406 |Loss: 0.536 | Acc: 82.306% 
001  00407 |Loss: 0.535 | Acc: 82.342% 
001  00408 |Loss: 0.534 | Acc: 82.378% 
001  00409 |Loss: 0.533 | Acc: 82.408% 
001  00410 |Loss: 0.532 | Acc: 82.439% 
001  00411 |Loss: 0.531 | Acc: 82.465% 
001  00412 |Loss: 0.530 | Acc: 82.490% 
001  00413 |Loss: 0.529 | Acc: 82.516% 
001  00414 |Loss: 0.529 | Acc: 82.550% 
001  00415 |Loss: 0.528 | Acc: 82.573% 
